OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
1,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,0,88434,Hotel,88434.0,7226362.5,False,Compliant,249.98
2,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,15064,88502,Hotel,83880.0,8387933.0,False,Compliant,295.86
5,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,0,61320,Hotel,61320.0,6794584.0,False,Compliant,286.43
8,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,62000,113580,Hotel,123445.0,14172606.0,False,Compliant,505.01
9,Nonresidential COS,Other,West Precinct,810 Virginia St,Seattle,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,37198,60090,Police Station,88830.0,12086616.0,False,Compliant,301.81
10,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,0,83008,Hotel,81352.0,5758795.0,False,Compliant,176.14
11,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,0,102761,Other - Entertainment/Public Assembly,102761.0,6298131.5,False,Compliant,221.51
12,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,0,163984,Hotel,163984.0,13723820.0,False,Compliant,392.16
15,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,Seattle,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,19279,133884,Hotel,133884.0,16016644.0,False,Compliant,691.26
16,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,Seattle,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,61161,272015,Hotel,336640.0,26941110.0,False,Compliant,740.97
17,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,0,65009,Hotel,65009.0,6596057.5,False,Compliant,328.23
18,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,Seattle,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,57600,258352,Hotel,295511.0,22325364.0,False,Compliant,648.62
19,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,Seattle,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,25200,66990,Hotel,67390.0,10750010.0,False,Compliant,511.39
21,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,Seattle,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,57000,355000,Library,364913.0,18588860.0,False,Compliant,181.38
22,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,Seattle,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,0,103911,Fitness Center/Health Club/Gym,90000.0,9956396.0,False,Compliant,433.86
24,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,Seattle,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,0,57452,Social/Meeting Hall,16442.0,7606084.5,False,Compliant,273.02
25,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,0,104352,Hotel,104352.0,10154608.0,False,Compliant,349.32
29,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,NORTHEAST,47.65959,-122.31755,2001,1.0,6,30586,58006,Hotel,58006.0,3663534.5,False,Compliant,90.01
30,NonResidential,University,Main Campus Center,1000 Lenora St.,Seattle,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,0,126593,College/University,125000.0,11343686.0,False,Compliant,388.04
31,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,Seattle,DOWNTOWN,47.615,-122.33081,1930,1.0,2,0,67224,Automobile Dealership,67224.0,1310236.625,False,Compliant,9.13
32,NonResidential,Hotel,Homewood Suites,1011 Pike ST,Seattle,EAST,47.61301,-122.32929,1991,1.0,8,30301,128375,Hotel,112676.0,5328051.5,False,Compliant,256.57
33,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,Seattle,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,38281,133585,Hotel,128909.0,11061916.0,False,Compliant,328.63
35,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,16200,52210,Hotel,47994.0,4456714.5,False,Compliant,128.44
38,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,Seattle,LAKE UNION,47.6641,-122.33118,1906,1.0,3,0,87262,Office,40943.0,4145920.5,False,Compliant,157.77
40,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,Seattle,NORTHEAST,47.66583,-122.29965,1994,1.0,4,0,81871,Hotel,81871.0,6668568.5,False,Compliant,215.0
41,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,Seattle,NORTHEAST,47.66172,-122.29598,1955,1.0,2,0,110356,Self-Storage Facility,26225.0,318364.8125,False,Compliant,3.93
50,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,Seattle,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,1.0,2,0,54986,K-12 School,54986.0,1650279.25,False,Compliant,31.47
52,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,BALLARD,47.66587,-122.38476,1961,1.0,2,0,94900,Office,55586.0,6186461.5,False,Compliant,130.56
53,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,Seattle,GREATER DUWAMISH,47.58034,-122.31132,1900,1.0,2,0,52554,Office,51029.0,2951331.25,False,Compliant,83.86
54,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,Seattle,NORTHWEST,47.68891,-122.33553,1954,1.0,3,0,175015,K-12 School,175015.0,6994740.5,False,Compliant,247.85
55,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,Seattle,DOWNTOWN,47.61351,-122.35129,1911,1.0,3,0,70586,Self-Storage Facility,38439.0,2158629.0,False,Compliant,45.43
56,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,Seattle,DOWNTOWN,47.60946,-122.33337,1969,1.0,24,205970,126240,Hotel,348630.0,16163194.0,False,Compliant,295.33
57,NonResidential,Large Office,5th and Pine,413 Pine Street,Seattle,DOWNTOWN,47.6113,-122.33659,1973,1.0,5,0,168115,Office,103362.0,9536161.0,False,Compliant,66.48
58,NonResidential,Other,1525 4th Avenue,1525 4th Ave,Seattle,DOWNTOWN,47.61076,-122.33765,1920,1.0,2,0,57428,Other - Mall,51747.0,1247362.0,False,Compliant,33.26
