OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,BuildingAge,log_surface,Size_S,Size_M,Size_L,Size_XL,Size_XXL,surface_per_floor,Nhood_CENTRAL,Nhood_DELRIDGE,Nhood_DOWNTOWN,Nhood_EAST,Nhood_GREATER DUWAMISH,Nhood_LAKE UNION,Nhood_MAGNOLIA / QUEEN ANNE,Nhood_NORTH,Nhood_NORTHEAST,Nhood_NORTHWEST,Nhood_Other,Nhood_SOUTHEAST,Nhood_SOUTHWEST
1,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,DOWNTOWN,47.6122,-122.33799,1927,12,0,88434,Hotel,88434.0,7226362.5,7456910.0,False,Compliant,98,11.390023097868895,False,False,True,False,False,7369.5,False,False,True,False,False,False,False,False,False,False,False,False,False
2,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,DOWNTOWN,47.61317,-122.33393,1996,11,15064,88502,Hotel,83880.0,8387933.0,8664479.0,False,Compliant,29,11.39079172872657,False,False,True,False,False,8045.636363636364,False,False,True,False,False,False,False,False,False,False,False,False,False
3,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,Seattle,DOWNTOWN,47.61393,-122.3381,1969,41,196718,759392,Hotel,756493.0,72587024.0,73937112.0,False,Compliant,56,13.540274708933826,False,False,False,False,True,18521.756097560974,False,False,True,False,False,False,False,False,False,False,False,False,False
5,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,DOWNTOWN,47.61412,-122.33664,1926,10,0,61320,Hotel,61320.0,6794584.0,6946800.5,False,Compliant,99,11.023877640745798,False,False,True,False,False,6132.0,False,False,True,False,False,False,False,False,False,False,False,False,False
8,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,DOWNTOWN,47.61375,-122.34047,1980,18,62000,113580,Hotel,123445.0,14172606.0,14656503.0,False,Compliant,45,11.640271517759631,False,False,False,True,False,6310.0,False,False,True,False,False,False,False,False,False,False,False,False,False
9,Nonresidential COS,Other,West Precinct,810 Virginia St,Seattle,DOWNTOWN,47.61623,-122.33657,1999,2,37198,60090,Police Station,88830.0,12086616.0,12581712.0,False,Compliant,26,11.003615358893612,False,False,True,False,False,30045.0,False,False,True,False,False,False,False,False,False,False,False,False,False
10,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,DOWNTOWN,47.6139,-122.33283,1926,11,0,83008,Hotel,81352.0,5758795.0,6062767.5,False,Compliant,99,11.326704314635162,False,False,True,False,False,7546.181818181818,False,False,True,False,False,False,False,False,False,False,False,False,False
11,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,DOWNTOWN,47.61327,-122.33136,1926,8,0,102761,Other - Entertainment/Public Assembly,102761.0,6298131.5,7067881.5,False,Compliant,99,11.540170913860424,False,False,False,True,False,12845.125,False,False,True,False,False,False,False,False,False,False,False,False,False
12,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,DOWNTOWN,47.60294,-122.33263,1904,15,0,163984,Hotel,163984.0,13723820.0,14194054.0,False,Compliant,121,12.007530239208668,False,False,False,True,False,10932.266666666666,False,False,True,False,False,False,False,False,False,False,False,False,False
15,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,Seattle,DOWNTOWN,47.60695,-122.33414,1969,11,19279,133884,Hotel,133884.0,16016644.0,16646930.0,False,Compliant,56,11.804736501505687,False,False,False,True,False,12171.272727272728,False,False,True,False,False,False,False,False,False,False,False,False,False
16,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,Seattle,DOWNTOWN,47.60713,-122.33323,1998,25,61161,272015,Hotel,336640.0,26941110.0,27070114.0,False,Compliant,27,12.51361616707751,False,False,False,False,True,10880.6,False,False,True,False,False,False,False,False,False,False,False,False,False
17,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,DOWNTOWN,47.60699,-122.33346,1928,9,0,65009,Hotel,65009.0,6596057.5,6358719.5,False,Compliant,97,11.082296383198514,False,False,True,False,False,7223.222222222223,False,False,True,False,False,False,False,False,False,False,False,False,False
18,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,Seattle,DOWNTOWN,47.60809,-122.33212,1980,33,57600,258352,Hotel,295511.0,22325364.0,22524948.0,False,Compliant,45,12.462082145801965,False,False,False,False,True,7828.848484848485,False,False,True,False,False,False,False,False,False,False,False,False,False
19,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,Seattle,DOWNTOWN,47.60755,-122.33244,1922,11,25200,66990,Hotel,67390.0,10750010.0,11179203.0,False,Compliant,103,11.112313560992032,False,False,True,False,False,6090.0,False,False,True,False,False,False,False,False,False,False,False,False,False
21,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,Seattle,DOWNTOWN,47.60649,-122.33297,2004,11,57000,355000,Library,364913.0,18588860.0,18706912.0,False,Compliant,21,12.779875885354993,False,False,False,False,True,32272.727272727272,False,False,True,False,False,False,False,False,False,False,False,False,False
22,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,Seattle,DOWNTOWN,47.60546,-122.33279,1930,6,0,103911,Fitness Center/Health Club/Gym,90000.0,9956396.0,10192124.0,False,Compliant,95,11.55129966608712,False,False,False,True,False,17318.5,False,False,True,False,False,False,False,False,False,False,False,False,False
23,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,Seattle,DOWNTOWN,47.60681,-122.33078,1983,28,85000,331281,Hotel,348329.0,33556756.0,34351920.0,False,Compliant,42,12.71072525539031,False,False,False,False,True,11831.464285714286,False,False,True,False,False,False,False,False,False,False,False,False,False
24,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,Seattle,DOWNTOWN,47.60515,-122.33159,1907,5,0,57452,Social/Meeting Hall,16442.0,7606084.5,7877219.0,False,Compliant,118,10.95872250123467,False,False,True,False,False,11490.4,False,False,True,False,False,False,False,False,False,False,False,False,False
25,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,DOWNTOWN,47.60376,-122.33194,1916,10,0,104352,Hotel,104352.0,10154608.0,10154608.0,False,Compliant,109,11.555534661493144,False,False,False,True,False,10435.2,False,False,True,False,False,False,False,False,False,False,False,False,False
26,NonResidential,Other,King County Courthouse,516 3RD AVE,Seattle,DOWNTOWN,47.60265,-122.33051,1916,10,0,540360,Courthouse,537150.0,44984468.0,47023088.0,False,Compliant,109,13.199992713700011,False,False,False,False,True,54036.0,False,False,True,False,False,False,False,False,False,False,False,False,False
27,NonResidential,Other,King County Correctional Facility,500 5TH AVE,Seattle,DOWNTOWN,47.60378,-122.32842,1985,19,0,385274,Other,385274.0,47859812.0,49539212.0,False,Compliant,40,12.861712644003578,False,False,False,False,True,20277.57894736842,False,False,True,False,False,False,False,False,False,False,False,False,False
29,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,NORTHEAST,47.65959,-122.31755,2001,6,30586,58006,Hotel,58006.0,3663534.5,3673186.75,False,Compliant,24,10.968318971901319,False,False,True,False,False,9667.666666666666,False,False,False,False,False,False,False,False,True,False,False,False,False
30,NonResidential,University,Main Campus Center,1000 Lenora St.,Seattle,DOWNTOWN,47.61816,-122.33629,1928,7,0,126593,College/University,125000.0,11343686.0,12183313.0,False,Compliant,97,11.748740394204184,False,False,False,True,False,18084.714285714286,False,False,True,False,False,False,False,False,False,False,False,False,False
31,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,Seattle,DOWNTOWN,47.615,-122.33081,1930,2,0,67224,Automobile Dealership,67224.0,1310236.625,1310236.625,False,Compliant,95,11.115800481137065,False,False,True,False,False,33612.0,False,False,True,False,False,False,False,False,False,False,False,False,False
32,NonResidential,Hotel,Homewood Suites,1011 Pike ST,Seattle,EAST,47.61301,-122.32929,1991,8,30301,128375,Hotel,112676.0,5328051.5,5424942.0,False,Compliant,34,11.762718736879195,False,False,False,True,False,16046.875,False,False,False,True,False,False,False,False,False,False,False,False,False
33,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,Seattle,DOWNTOWN,47.61784,-122.32966,2001,10,38281,133585,Hotel,128909.0,11061916.0,11171407.0,False,Compliant,24,11.80250074417462,False,False,False,True,False,13358.5,False,False,True,False,False,False,False,False,False,False,False,False,False
35,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,DOWNTOWN,47.61558,-122.34186,1978,5,16200,52210,Hotel,47994.0,4456714.5,4557974.0,False,Compliant,47,10.863048479640058,False,False,True,False,False,10442.0,False,False,True,False,False,False,False,False,False,False,False,False,False
38,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,Seattle,LAKE UNION,47.6641,-122.33118,1906,3,0,87262,Office,40943.0,4145920.5,4703690.0,False,Compliant,119,11.376681826100373,False,False,True,False,False,29087.333333333332,False,False,False,False,False,True,False,False,False,False,False,False,False
40,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,Seattle,NORTHEAST,47.66583,-122.29965,1994,4,0,81871,Hotel,81871.0,6668568.5,6731281.5,False,Compliant,31,11.312912331044872,False,False,True,False,False,20467.75,False,False,False,False,False,False,False,False,True,False,False,False,False
41,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,Seattle,NORTHEAST,47.66172,-122.29598,1955,2,0,110356,Self-Storage Facility,26225.0,318364.8125,326223.0938,False,Compliant,70,11.611475844199505,False,False,False,True,False,55178.0,False,False,False,False,False,False,False,False,True,False,False,False,False
46,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,Seattle,GREATER DUWAMISH,47.51138,-122.28875,1961,2,0,714095,Non-Refrigerated Warehouse,616000.0,44731160.0,44110016.0,False,Compliant,64,13.478772686065135,False,False,False,False,True,357047.5,False,False,False,False,True,False,False,False,False,False,False,False,False
50,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,Seattle,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,2,0,54986,K-12 School,54986.0,1650279.25,1802471.375,False,Compliant,35,10.914852072639958,False,False,True,False,False,27493.0,False,False,False,False,False,False,True,False,False,False,False,False,False
52,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,BALLARD,47.66587,-122.38476,1961,2,0,94900,Office,55586.0,6186461.5,6536359.5,False,Compliant,64,11.460589521950299,False,False,True,False,False,47450.0,False,False,False,False,False,False,False,False,False,False,False,False,False
53,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,Seattle,GREATER DUWAMISH,47.58034,-122.31132,1900,2,0,52554,Office,51029.0,2951331.25,3150635.5,False,Compliant,125,10.869615519257454,False,False,True,False,False,26277.0,False,False,False,False,True,False,False,False,False,False,False,False,False
54,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,Seattle,NORTHWEST,47.68891,-122.33553,1954,3,0,175015,K-12 School,175015.0,6994740.5,7886505.5,False,Compliant,71,12.072632677297742,False,False,False,True,False,58338.333333333336,False,False,False,False,False,False,False,False,False,True,False,False,False
55,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,Seattle,DOWNTOWN,47.61351,-122.35129,1911,3,0,70586,Self-Storage Facility,38439.0,2158629.0,2331573.25,False,Compliant,114,11.164601270548886,False,False,True,False,False,23528.666666666668,False,False,True,False,False,False,False,False,False,False,False,False,False
56,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,Seattle,DOWNTOWN,47.60946,-122.33337,1969,24,205970,126240,Hotel,348630.0,16163194.0,16163194.0,False,Compliant,56,11.745948057467846,False,False,False,True,False,5260.0,False,False,True,False,False,False,False,False,False,False,False,False,False
57,NonResidential,Large Office,5th and Pine,413 Pine Street,Seattle,DOWNTOWN,47.6113,-122.33659,1973,5,0,168115,Office,103362.0,9536161.0,9536161.0,False,Compliant,52,12.03240949630686,False,False,False,True,False,33623.0,False,False,True,False,False,False,False,False,False,False,False,False,False
58,NonResidential,Other,1525 4th Avenue,1525 4th Ave,Seattle,DOWNTOWN,47.61076,-122.33765,1920,2,0,57428,Other - Mall,51747.0,1247362.0,1239429.75,False,Compliant,105,10.958304681204567,False,False,True,False,False,28714.0,False,False,True,False,False,False,False,False,False,False,False,False,False
59,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,Seattle,DOWNTOWN,47.61048,-122.33794,1910,8,0,59400,Office,34947.0,5071974.0,5242479.5,False,Compliant,115,10.992066340225865,False,False,True,False,False,7425.0,False,False,True,False,False,False,False,False,False,False,False,False,False
60,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,Seattle,DOWNTOWN,47.60886,-122.33744,1926,2,0,52549,Other - Entertainment/Public Assembly,23500.0,15026196.0,15683742.0,False,Compliant,99,10.869520376305097,False,False,True,False,False,26274.5,False,False,True,False,False,False,False,False,False,False,False,False,False
62,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,Seattle,DOWNTOWN,47.61233,-122.33432,1930,20,10043,88591,Hotel,83591.0,4841347.5,5078816.0,False,Compliant,95,11.391796839062748,False,False,True,False,False,4429.55,False,False,True,False,False,False,False,False,False,False,False,False,False
63,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,Seattle,DOWNTOWN,47.61087,-122.33339,1982,34,146694,847518,Hotel,994212.0,80469216.0,82318072.0,False,Compliant,43,13.650068536864499,False,False,False,False,True,24927.0,False,False,True,False,False,False,False,False,False,False,False,False,False
