OSEBuildingID,PropertyGFATotal,Surface_Deviation,SiteEnergyUse(kBtu),Energy_Deviation,Outlier_Surface,Outlier_Energy
3,956110,837267.2757793765,72587024.0,64149090.78340504,True,True
23,416281,297438.2757793765,33556756.0,25118822.783405043,False,True
26,540360,421517.2757793765,44984468.0,36546534.78340504,True,True
27,385274,266431.2757793765,47859812.0,39421878.78340504,False,True
43,494835,375992.2757793765,448385312.0,439947378.78340507,True,True
46,714095,595252.2757793765,44731160.0,36293226.78340504,True,True
63,994212,875369.2757793765,80469216.0,72031282.78340504,True,True
84,217603,98760.2757793765,42792072.0,34354138.78340504,False,True
107,571329,452486.2757793765,39605888.0,31167954.783405043,True,True
114,920598,801755.2757793765,36667044.0,28229110.783405043,True,True
147,285333,166490.2757793765,68090728.0,59652794.78340504,False,True
172,441071,322228.2757793765,38301744.0,29863810.783405043,False,True
338,299070,180227.2757793765,65336980.0,56899046.78340504,False,True
194,530039,411196.2757793765,27717034.0,19279100.783405043,True,False
198,879000,760157.2757793765,253832464.0,245394530.78340504,True,True
211,694072,575229.2757793765,35891484.0,27453550.783405043,True,True
245,1585960,1467117.2757793765,59757440.0,51319506.78340504,True,True
249,1172127,1053284.2757793765,58761304.0,50323370.78340504,True,True
261,334368,215525.2757793765,53466684.0,45028750.78340504,False,True
267,934292,815449.2757793765,65047284.0,56609350.78340504,True,True
268,597519,478676.2757793765,143423024.0,134985090.78340504,True,True
276,1158691,1039848.2757793765,293090784.0,284652850.78340507,True,True
295,230880,112037.2757793765,62197176.0,53759242.78340504,False,True
327,693450,574607.2757793765,40062888.0,31624954.783405043,True,True
328,791396,672553.2757793765,40847752.0,32409818.783405043,True,True
329,747747,628904.2757793765,30985420.0,22547486.783405043,True,False
334,758043,639200.2757793765,27018020.0,18580086.783405043,True,False
336,824887,706044.2757793765,39523852.0,31085918.783405043,True,True
337,480840,361997.2757793765,17867002.0,9429068.783405043,True,False
345,1323055,1204212.2757793765,44683660.0,36245726.78340504,True,True
346,589921,471078.2757793765,24603420.0,16165486.783405043,True,False
349,635303,516460.2757793765,18221224.0,9783290.783405043,True,False
350,172842,53999.275779376505,41399504.0,32961570.783405043,False,True
351,776762,657919.2757793765,32552428.0,24114494.783405043,True,True
353,1123435,1004592.2757793765,45163308.0,36725374.78340504,True,True
354,1052469,933626.2757793765,41213584.0,32775650.783405043,True,True
355,617684,498841.2757793765,69519808.0,61081874.78340504,True,True
357,1354987,1236144.2757793765,61576184.0,53138250.78340504,True,True
364,474546,355703.2757793765,28450436.0,20012502.783405043,True,False
372,497513,378670.2757793765,26823218.0,18385284.783405043,True,False
373,543876,425033.2757793765,25307744.0,16869810.783405043,True,False
388,635824,516981.2757793765,48479988.0,40042054.78340504,True,True
389,542305,423462.2757793765,56485204.0,48047270.78340504,True,True
399,1400000,1281157.2757793765,53079164.0,44641230.78340504,True,True
401,305548,186705.2757793765,33729336.0,25291402.783405043,False,True
402,1536606,1417763.2757793765,56606136.0,48168202.78340504,True,True
406,500000,381157.2757793765,18848780.0,10410846.783405043,True,False
410,332067,213224.2757793765,37785552.0,29347618.783405043,False,True
415,755000,636157.2757793765,52226204.0,43788270.78340504,True,True
